Team,Accuracy
AiIkram_claude opus 4.6,81.6
tasneem-m-selim_qwen2.5-coder:7b,78.2
hadilaff_LLM_claudesonnet,76.2
TugaAhmed_human,74.2
llm_gpt5_4_codex,74.0
gururgg_human,70.89999999999999
abdksm_human,70.7
mubbytheback,70.5
DeepSeek-v4-pro,70.0
faranbutt_Gemini-3.1-Flash,69.69999999999999
Muhammad0isah_human,69.69999999999999
bjayadikary_human,68.8
AiIkram_human,67.0
samuelmatia_human,66.8
SanaeZR_llm_claude_sonnet,66.0
emmakowu3579-ui_human,60.7
idrees11_human,60.4
NoorMajdoub_human,57.3
LLM_claude_opus_47,55.1
El-Ikram_human,36.9
SanaeZR_human,36.8
SanaeZR,32.800000000000004
KEMPEGUY_human,15.8
hadilaff_human,15.3
